FILE_VERSION	2.0.0
NO_OF_FRAMES	3302
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.398	1774431887.39863491
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
86	0.84623	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0042	0.0041	0.0014	-0.0011	-0.0115	-0.0015
87	0.85188	0.0000	0.0000	0.0000	-0.0039	-0.0108	-0.0081	0.0000	0.0000	0.0000	-0.0040	-0.0115	0.0012
88	0.86142	0.0000	0.0000	0.0000	0.0056	-0.0100	-0.0034	-0.0005	0.0062	0.0028	-0.0025	-0.0108	-0.0010
89	0.87264	0.0000	0.0000	0.0000	0.0050	-0.0078	-0.0081	-0.0021	0.0034	0.0021	0.0026	-0.0087	0.0004
90	0.88305	0.0000	0.0000	0.0000	-0.0030	-0.0077	-0.0042	-0.0020	0.0078	0.0006	-0.0002	-0.0074	-0.0056
91	0.89312	0.0000	0.0000	0.0000	0.0022	-0.0106	-0.0065	0.0001	0.0020	0.0014	0.0012	-0.0097	-0.0049
92	0.90551	0.0000	0.0000	0.0000	-0.0006	-0.0142	-0.0125	0.0030	-0.0002	0.0044	-0.0032	-0.0031	-0.0015
93	0.91560	0.0000	0.0000	0.0000	-0.0013	-0.0112	-0.0113	0.0016	0.0072	0.0028	0.0004	-0.0047	-0.0037
94	0.92858	0.0000	0.0000	0.0000	0.0010	-0.0098	-0.0143	0.0002	0.0065	0.0013	-0.0019	-0.0069	0.0020
95	0.93836	0.0000	0.0000	0.0000	0.0037	-0.0068	-0.0078	0.0008	0.0029	-0.0023	0.0018	-0.0100	-0.0001
96	0.94620	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0066	0.0006	-0.0015	-0.0019	-0.0078	-0.0003
97	0.95170	0.0000	0.0000	0.0000	-0.0015	-0.0133	-0.0015	-0.0028	0.0030	-0.0038	0.0003	-0.0116	-0.0017
98	0.96179	0.0000	0.0000	0.0000	-0.0044	-0.0044	-0.0026	-0.0057	0.0031	-0.0024	0.0039	-0.0066	0.0019
99	0.97425	0.0000	0.0000	0.0000	-0.0059	-0.0130	-0.0020	0.0000	0.0000	0.0000	-0.0040	-0.0059	-0.0027
100	0.98362	0.0000	0.0000	0.0000	-0.0088	-0.0099	-0.0036	0.0030	0.0067	0.0036	-0.0018	-0.0024	-0.0028
101	0.99451	0.0000	0.0000	0.0000	-0.0038	-0.0069	-0.0014	0.0000	0.0000	0.0000	0.0061	-0.0040	-0.0026
102	0.00000	-0.0040	-0.0005	-0.0024	-0.0052	-0.0140	-0.0060	-0.0014	0.0053	0.0021	0.0039	-0.0048	-0.0019
103	0.00984	-0.0005	0.0000	0.0014	-0.0067	-0.0102	-0.0033	0.0029	-0.0035	-0.0021	-0.0018	-0.0070	-0.0108
104	0.02105	0.0001	-0.0023	0.0007	-0.0053	-0.0114	-0.0042	-0.0014	0.0054	0.0015	-0.0048	-0.0069	-0.0050
105	0.03198	-0.0023	0.0035	0.0103	-0.0068	-0.0046	-0.0023	0.0001	0.0047	0.0016	-0.0020	-0.0098	-0.0012
